County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
40 - San Luis Obispo,1/29/2015,Pending Construction,1334500.00,9,
40 - San Luis Obispo,1/29/2015,In Construction,4968265.00,18,
40 - San Luis Obispo,1/29/2015,In Closure,11097077.00,29,
41 - San Mateo,1/29/2015,In Review,205825749.00,31,Bay Area Counties
41 - San Mateo,1/29/2015,Pending Construction,18884085.00,22,Bay Area Counties
41 - San Mateo,1/29/2015,In Construction,112760364.00,39,Bay Area Counties
41 - San Mateo,1/29/2015,In Closure,69522702.00,23,Bay Area Counties
42 - Santa Barbara,1/29/2015,In Review,12829675.00,18,
42 - Santa Barbara,1/29/2015,Pending Construction,8533252.00,22,
42 - Santa Barbara,1/29/2015,In Construction,372848819.00,52,
42 - Santa Barbara,1/29/2015,In Closure,83076997.00,21,
43 - Santa Clara,1/29/2015,In Review,226528247.00,82,Bay Area Counties
43 - Santa Clara,1/29/2015,Pending Construction,61481393.00,51,Bay Area Counties
43 - Santa Clara,1/29/2015,In Construction,1631875378.00,146,Bay Area Counties
43 - Santa Clara,1/29/2015,In Closure,101529913.00,40,Bay Area Counties
44 - Santa Cruz,1/29/2015,In Review,811216.00,6,
44 - Santa Cruz,1/29/2015,Pending Construction,681777.00,3,
44 - Santa Cruz,1/29/2015,In Construction,10745834.00,20,
44 - Santa Cruz,1/29/2015,In Closure,464959.00,3,
45 - Shasta,1/29/2015,In Review,21451145.00,13,
45 - Shasta,1/29/2015,Pending Construction,1406915.00,17,
45 - Shasta,1/29/2015,In Construction,9978629.00,30,
45 - Shasta,1/29/2015,In Closure,342031.00,2,
46 - Sierra,1/29/2015,In Review,0.00,0,
46 - Sierra,1/29/2015,Pending Construction,0.00,0,
46 - Sierra,1/29/2015,In Construction,0.00,0,
46 - Sierra,1/29/2015,In Closure,0.00,0,
47 - Siskiyou,1/29/2015,In Review,494107.00,4,
47 - Siskiyou,1/29/2015,Pending Construction,778700.00,2,
47 - Siskiyou,1/29/2015,In Construction,1046729.00,9,
47 - Siskiyou,1/29/2015,In Closure,30000.00,2,
48 - Solano,1/29/2015,In Review,59266642.00,15,Bay Area Counties
48 - Solano,1/29/2015,Pending Construction,8042691.00,9,Bay Area Counties
48 - Solano,1/29/2015,In Construction,45195414.00,27,Bay Area Counties
48 - Solano,1/29/2015,In Closure,3676096.00,18,Bay Area Counties
49 - Sonoma,1/29/2015,In Review,1925700.00,17,Bay Area Counties
49 - Sonoma,1/29/2015,Pending Construction,1142366.00,12,Bay Area Counties
49 - Sonoma,1/29/2015,In Construction,50290114.00,40,Bay Area Counties
49 - Sonoma,1/29/2015,In Closure,120285013.00,27,Bay Area Counties
50 - Stanislaus,1/29/2015,In Review,23336090.00,13,
50 - Stanislaus,1/29/2015,Pending Construction,5650522.00,23,
50 - Stanislaus,1/29/2015,In Construction,8697275.00,39,
50 - Stanislaus,1/29/2015,In Closure,33610966.00,31,
51 - Sutter,1/29/2015,In Review,0.00,1,
51 - Sutter,1/29/2015,Pending Construction,12704683.00,3,
51 - Sutter,1/29/2015,In Construction,275467.00,1,
51 - Sutter,1/29/2015,In Closure,0.00,0,
52 - Tehama,1/29/2015,In Review,448636.00,2,
52 - Tehama,1/29/2015,Pending Construction,414575.00,6,
52 - Tehama,1/29/2015,In Construction,2179752.00,6,
52 - Tehama,1/29/2015,In Closure,0.00,0,
53 - Trinity,1/29/2015,In Review,1028200.00,6,
53 - Trinity,1/29/2015,Pending Construction,8500.00,1,
53 - Trinity,1/29/2015,In Construction,115025.00,1,
53 - Trinity,1/29/2015,In Closure,0.00,0,
54 - Tulare,1/29/2015,In Review,29403818.00,14,
54 - Tulare,1/29/2015,Pending Construction,786500.00,11,
54 - Tulare,1/29/2015,In Construction,78876229.00,15,
54 - Tulare,1/29/2015,In Closure,905218.00,8,
55 - Tuolumne,1/29/2015,In Review,0.00,0,
55 - Tuolumne,1/29/2015,Pending Construction,0.00,0,
55 - Tuolumne,1/29/2015,In Construction,431125.00,5,
55 - Tuolumne,1/29/2015,In Closure,1082089.00,6,
56 - Ventura,1/29/2015,In Review,89962039.00,39,Greater Los Angeles Counties
56 - Ventura,1/29/2015,Pending Construction,19358629.00,51,Greater Los Angeles Counties
56 - Ventura,1/29/2015,In Construction,396000494.00,84,Greater Los Angeles Counties
56 - Ventura,1/29/2015,In Closure,39403430.00,38,Greater Los Angeles Counties
57 - Yolo,1/29/2015,In Review,100560.00,5,Greater Sacramento Counties
57 - Yolo,1/29/2015,Pending Construction,2231555.00,5,Greater Sacramento Counties
57 - Yolo,1/29/2015,In Construction,2816234.00,12,Greater Sacramento Counties
57 - Yolo,1/29/2015,In Closure,1432107.00,5,Greater Sacramento Counties
58 - Yuba,1/29/2015,In Review,5334000.00,4,
58 - Yuba,1/29/2015,Pending Construction,44585275.00,1,
58 - Yuba,1/29/2015,In Construction,94917366.00,6,
58 - Yuba,1/29/2015,In Closure,60105.00,2,
01 - Alameda,2/12/2015,In Review,127527006.00,55,Bay Area Counties
01 - Alameda,2/12/2015,Pending Construction,314930156.00,124,Bay Area Counties
01 - Alameda,2/12/2015,In Construction,371697101.00,126,Bay Area Counties
01 - Alameda,2/12/2015,In Closure,1429831114.00,142,Bay Area Counties
02 - Alpine,2/12/2015,In Review,0.00,0,
02 - Alpine,2/12/2015,Pending Construction,0.00,0,
02 - Alpine,2/12/2015,In Construction,0.00,0,
02 - Alpine,2/12/2015,In Closure,0.00,0,
03 - Amador,2/12/2015,In Review,6000.00,1,
03 - Amador,2/12/2015,Pending Construction,90043.00,3,
03 - Amador,2/12/2015,In Construction,4511019.00,10,
03 - Amador,2/12/2015,In Closure,0.00,0,
04 - Butte,2/12/2015,In Review,2400876.00,11,
04 - Butte,2/12/2015,Pending Construction,8871655.00,18,
04 - Butte,2/12/2015,In Construction,84825352.00,6,
04 - Butte,2/12/2015,In Closure,3900564.00,7,
05 - Calaveras,2/12/2015,In Review,0.00,0,
05 - Calaveras,2/12/2015,Pending Construction,97000.00,1,
05 - Calaveras,2/12/2015,In Construction,408927.00,4,
05 - Calaveras,2/12/2015,In Closure,95733.00,3,
06 - Colusa,2/12/2015,In Review,0.00,0,
06 - Colusa,2/12/2015,Pending Construction,0.00,0,
06 - Colusa,2/12/2015,In Construction,168782.00,2,
06 - Colusa,2/12/2015,In Closure,2425.00,1,
07 - Contra Costa,2/12/2015,In Review,32815074.00,34,Bay Area Counties
07 - Contra Costa,2/12/2015,Pending Construction,20033342.00,54,Bay Area Counties
07 - Contra Costa,2/12/2015,In Construction,23312748.00,47,Bay Area Counties
07 - Contra Costa,2/12/2015,In Closure,40191464.00,28,Bay Area Counties
08 - Del Norte,2/12/2015,In Review,0.00,1,
08 - Del Norte,2/12/2015,Pending Construction,25970.00,2,
08 - Del Norte,2/12/2015,In Construction,904000.00,1,
08 - Del Norte,2/12/2015,In Closure,0.00,0,
09 - El Dorado,2/12/2015,In Review,8394234.00,8,Greater Sacramento Counties
09 - El Dorado,2/12/2015,Pending Construction,3512500.00,2,Greater Sacramento Counties
09 - El Dorado,2/12/2015,In Construction,18868576.00,10,Greater Sacramento Counties
09 - El Dorado,2/12/2015,In Closure,22418937.00,3,Greater Sacramento Counties
10 - Fresno,2/12/2015,In Review,31509038.00,17,
10 - Fresno,2/12/2015,Pending Construction,23116838.00,37,
10 - Fresno,2/12/2015,In Construction,257801773.00,85,
10 - Fresno,2/12/2015,In Closure,16925747.00,71,
11 - Glenn,2/12/2015,In Review,12962075.00,2,
11 - Glenn,2/12/2015,Pending Construction,0.00,0,
11 - Glenn,2/12/2015,In Construction,334685.00,2,
11 - Glenn,2/12/2015,In Closure,0.00,0,
12 - Humboldt,2/12/2015,In Review,12062000.00,5,
12 - Humboldt,2/12/2015,Pending Construction,717000.00,6,
12 - Humboldt,2/12/2015,In Construction,89249676.00,16,
12 - Humboldt,2/12/2015,In Closure,159452.00,3,
13 - Imperial,2/12/2015,In Review,0.00,0,
13 - Imperial,2/12/2015,Pending Construction,25700000.00,4,
13 - Imperial,2/12/2015,In Construction,530458.00,7,
13 - Imperial,2/12/2015,In Closure,35000.00,1,
14 - Inyo,2/12/2015,In Review,30000.00,1,
14 - Inyo,2/12/2015,Pending Construction,0.00,0,
14 - Inyo,2/12/2015,In Construction,50996.00,3,
14 - Inyo,2/12/2015,In Closure,20380.00,2,
15 - Kern,2/12/2015,In Review,8164676.00,21,
15 - Kern,2/12/2015,Pending Construction,3058236.00,18,
15 - Kern,2/12/2015,In Construction,68342172.00,38,
15 - Kern,2/12/2015,In Closure,6507566.00,21,
16 - Kings,2/12/2015,In Review,7000.00,1,
16 - Kings,2/12/2015,Pending Construction,4958199.00,6,
16 - Kings,2/12/2015,In Construction,28501321.00,7,
16 - Kings,2/12/2015,In Closure,304398.00,6,
17 - Lake,2/12/2015,In Review,1392374.00,5,
17 - Lake,2/12/2015,Pending Construction,226000.00,2,
17 - Lake,2/12/2015,In Construction,11442006.00,12,
17 - Lake,2/12/2015,In Closure,1375319.00,8,
18 - Lassen,2/12/2015,In Review,929830.00,3,
18 - Lassen,2/12/2015,Pending Construction,865640.00,5,
18 - Lassen,2/12/2015,In Construction,1010807.00,9,
18 - Lassen,2/12/2015,In Closure,237907.00,1,
19 - Los Angeles,2/12/2015,In Review,595246879.00,530,Greater Los Angeles Counties
19 - Los Angeles,2/12/2015,Pending Construction,284397034.00,489,Greater Los Angeles Counties
19 - Los Angeles,2/12/2015,In Construction,942061261.00,817,Greater Los Angeles Counties
19 - Los Angeles,2/12/2015,In Closure,1336987557.00,721,Greater Los Angeles Counties
20 - Madera,2/12/2015,In Review,697478.00,3,
20 - Madera,2/12/2015,Pending Construction,1283255.00,6,
20 - Madera,2/12/2015,In Construction,2895773.00,12,
20 - Madera,2/12/2015,In Closure,17132627.00,13,
21 - Marin,2/12/2015,In Review,213996123.00,23,Bay Area Counties
21 - Marin,2/12/2015,Pending Construction,1188914.00,14,Bay Area Counties
21 - Marin,2/12/2015,In Construction,30007192.00,20,Bay Area Counties
21 - Marin,2/12/2015,In Closure,1505507.00,11,Bay Area Counties
22 - Mariposa,2/12/2015,In Review,198686.00,1,
22 - Mariposa,2/12/2015,Pending Construction,0.00,0,
22 - Mariposa,2/12/2015,In Construction,163850.00,1,
22 - Mariposa,2/12/2015,In Closure,0.00,0,
23 - Mendocino,2/12/2015,In Review,14579311.00,14,
23 - Mendocino,2/12/2015,Pending Construction,84500.00,3,
23 - Mendocino,2/12/2015,In Construction,44260672.00,19,
23 - Mendocino,2/12/2015,In Closure,115229.00,4,
24 - Merced,2/12/2015,In Review,268600.00,6,
24 - Merced,2/12/2015,Pending Construction,259500.00,5,
24 - Merced,2/12/2015,In Construction,13601399.00,8,
24 - Merced,2/12/2015,In Closure,253923.00,3,
25 - Modoc,2/12/2015,In Review,0.00,0,
25 - Modoc,2/12/2015,Pending Construction,0.00,0,
25 - Modoc,2/12/2015,In Construction,0.00,0,
25 - Modoc,2/12/2015,In Closure,0.00,0,
26 - Mono,2/12/2015,In Review,95397.00,1,
26 - Mono,2/12/2015,Pending Construction,60000.00,1,
26 - Mono,2/12/2015,In Construction,22398.00,4,
26 - Mono,2/12/2015,In Closure,0.00,0,
27 - Monterey,2/12/2015,In Review,8733617.00,18,
27 - Monterey,2/12/2015,Pending Construction,1383500.00,8,
27 - Monterey,2/12/2015,In Construction,34920823.00,11,
27 - Monterey,2/12/2015,In Closure,88898.00,3,
28 - Napa,2/12/2015,In Review,2281740.00,20,Bay Area Counties
28 - Napa,2/12/2015,Pending Construction,248450.00,6,Bay Area Counties
28 - Napa,2/12/2015,In Construction,34639701.00,16,Bay Area Counties
28 - Napa,2/12/2015,In Closure,49944023.00,17,Bay Area Counties
29 - Nevada,2/12/2015,In Review,5856200.00,7,
29 - Nevada,2/12/2015,Pending Construction,0.00,0,
29 - Nevada,2/12/2015,In Construction,48098844.00,30,
29 - Nevada,2/12/2015,In Closure,1875493.00,4,
30 - Orange,2/12/2015,In Review,29769530.00,75,Greater Los Angeles Counties
30 - Orange,2/12/2015,Pending Construction,51067036.00,77,Greater Los Angeles Counties
30 - Orange,2/12/2015,In Construction,117551367.00,166,Greater Los Angeles Counties
30 - Orange,2/12/2015,In Closure,88318797.00,216,Greater Los Angeles Counties
31 - Placer,2/12/2015,In Review,7235875.00,16,Greater Sacramento Counties
31 - Placer,2/12/2015,Pending Construction,1710595.00,11,Greater Sacramento Counties
31 - Placer,2/12/2015,In Construction,26882160.00,31,Greater Sacramento Counties
31 - Placer,2/12/2015,In Closure,95273436.00,18,Greater Sacramento Counties
32 - Plumas,2/12/2015,In Review,128118.00,3,
32 - Plumas,2/12/2015,Pending Construction,76437.00,4,
32 - Plumas,2/12/2015,In Construction,76962.00,2,
32 - Plumas,2/12/2015,In Closure,7946.00,1,
33 - Riverside,2/12/2015,In Review,220856370.00,86,
33 - Riverside,2/12/2015,Pending Construction,177838230.00,70,
33 - Riverside,2/12/2015,In Construction,135120194.00,131,
33 - Riverside,2/12/2015,In Closure,35345646.00,67,
34 - Sacramento,2/12/2015,In Review,102596956.00,57,Greater Sacramento Counties
34 - Sacramento,2/12/2015,Pending Construction,106355742.00,42,Greater Sacramento Counties
34 - Sacramento,2/12/2015,In Construction,283497523.00,135,Greater Sacramento Counties
34 - Sacramento,2/12/2015,In Closure,108183125.00,54,Greater Sacramento Counties
35 - San Benito,2/12/2015,In Review,0.00,0,
35 - San Benito,2/12/2015,Pending Construction,167000.00,2,
35 - San Benito,2/12/2015,In Construction,14008205.00,3,
35 - San Benito,2/12/2015,In Closure,250000.00,1,
36 - San Bernardino,2/12/2015,In Review,115022620.00,61,
36 - San Bernardino,2/12/2015,Pending Construction,12976914.00,76,
36 - San Bernardino,2/12/2015,In Construction,175887781.00,128,
36 - San Bernardino,2/12/2015,In Closure,48668956.00,73,
37 - San Diego,2/12/2015,In Review,92157785.00,127,
37 - San Diego,2/12/2015,Pending Construction,25181884.00,115,
37 - San Diego,2/12/2015,In Construction,1151500840.00,239,
37 - San Diego,2/12/2015,In Closure,137412311.00,196,
38 - San Francisco,2/12/2015,In Review,929497307.00,62,Bay Area Counties
38 - San Francisco,2/12/2015,Pending Construction,25684673.00,55,Bay Area Counties
38 - San Francisco,2/12/2015,In Construction,1423501406.00,124,Bay Area Counties
38 - San Francisco,2/12/2015,In Closure,759251066.00,34,Bay Area Counties
39 - San Joaquin,2/12/2015,In Review,34612607.00,29,
39 - San Joaquin,2/12/2015,Pending Construction,2675346.00,27,
39 - San Joaquin,2/12/2015,In Construction,18064704.00,43,
39 - San Joaquin,2/12/2015,In Closure,89583921.00,17,
40 - San Luis Obispo,2/12/2015,In Review,275000.00,3,
40 - San Luis Obispo,2/12/2015,Pending Construction,254500.00,8,
40 - San Luis Obispo,2/12/2015,In Construction,6617265.00,19,
40 - San Luis Obispo,2/12/2015,In Closure,11024440.00,27,
41 - San Mateo,2/12/2015,In Review,206223441.00,30,Bay Area Counties
41 - San Mateo,2/12/2015,Pending Construction,19004085.00,23,Bay Area Counties
41 - San Mateo,2/12/2015,In Construction,112871696.00,40,Bay Area Counties
41 - San Mateo,2/12/2015,In Closure,65634880.00,21,Bay Area Counties
42 - Santa Barbara,2/12/2015,In Review,14179675.00,19,
42 - Santa Barbara,2/12/2015,Pending Construction,8551252.00,24,
42 - Santa Barbara,2/12/2015,In Construction,372853819.00,51,
42 - Santa Barbara,2/12/2015,In Closure,81882497.00,21,
43 - Santa Clara,2/12/2015,In Review,226106865.00,87,Bay Area Counties
43 - Santa Clara,2/12/2015,Pending Construction,54203580.00,50,Bay Area Counties
43 - Santa Clara,2/12/2015,In Construction,1611714172.00,144,Bay Area Counties
43 - Santa Clara,2/12/2015,In Closure,114502652.00,35,Bay Area Counties
44 - Santa Cruz,2/12/2015,In Review,928216.00,7,
44 - Santa Cruz,2/12/2015,Pending Construction,45680.00,2,
44 - Santa Cruz,2/12/2015,In Construction,11669567.00,19,
44 - Santa Cruz,2/12/2015,In Closure,505312.00,5,
45 - Shasta,2/12/2015,In Review,21524145.00,14,
45 - Shasta,2/12/2015,Pending Construction,1403415.00,17,
45 - Shasta,2/12/2015,In Construction,10094865.00,30,
45 - Shasta,2/12/2015,In Closure,342031.00,2,
46 - Sierra,2/12/2015,In Review,0.00,0,
46 - Sierra,2/12/2015,Pending Construction,0.00,0,
46 - Sierra,2/12/2015,In Construction,0.00,0,
46 - Sierra,2/12/2015,In Closure,0.00,0,
47 - Siskiyou,2/12/2015,In Review,494107.00,4,
47 - Siskiyou,2/12/2015,Pending Construction,778700.00,2,
47 - Siskiyou,2/12/2015,In Construction,1046729.00,9,
47 - Siskiyou,2/12/2015,In Closure,30000.00,2,
48 - Solano,2/12/2015,In Review,58908642.00,14,Bay Area Counties
48 - Solano,2/12/2015,Pending Construction,8433691.00,12,Bay Area Counties
48 - Solano,2/12/2015,In Construction,45207414.00,27,Bay Area Counties
48 - Solano,2/12/2015,In Closure,3676096.00,18,Bay Area Counties
49 - Sonoma,2/12/2015,In Review,1895700.00,15,Bay Area Counties
49 - Sonoma,2/12/2015,Pending Construction,1167366.00,12,Bay Area Counties
49 - Sonoma,2/12/2015,In Construction,19968020.00,38,Bay Area Counties
49 - Sonoma,2/12/2015,In Closure,150727107.00,31,Bay Area Counties
50 - Stanislaus,2/12/2015,In Review,22667090.00,11,
50 - Stanislaus,2/12/2015,Pending Construction,6284781.00,25,
50 - Stanislaus,2/12/2015,In Construction,8765016.00,40,
50 - Stanislaus,2/12/2015,In Closure,32694451.00,24,
51 - Sutter,2/12/2015,In Review,0.00,1,
51 - Sutter,2/12/2015,Pending Construction,12704683.00,3,
51 - Sutter,2/12/2015,In Construction,275467.00,1,
51 - Sutter,2/12/2015,In Closure,0.00,0,
52 - Tehama,2/12/2015,In Review,489636.00,3,
52 - Tehama,2/12/2015,Pending Construction,414575.00,6,
52 - Tehama,2/12/2015,In Construction,2179752.00,6,
52 - Tehama,2/12/2015,In Closure,0.00,0,
53 - Trinity,2/12/2015,In Review,1028200.00,6,
53 - Trinity,2/12/2015,Pending Construction,8500.00,1,
53 - Trinity,2/12/2015,In Construction,115025.00,1,
53 - Trinity,2/12/2015,In Closure,0.00,0,
54 - Tulare,2/12/2015,In Review,29398818.00,13,
54 - Tulare,2/12/2015,Pending Construction,741500.00,11,
54 - Tulare,2/12/2015,In Construction,78926229.00,16,
54 - Tulare,2/12/2015,In Closure,905218.00,8,
55 - Tuolumne,2/12/2015,In Review,0.00,0,
55 - Tuolumne,2/12/2015,Pending Construction,0.00,0,
55 - Tuolumne,2/12/2015,In Construction,429375.00,5,
55 - Tuolumne,2/12/2015,In Closure,1082089.00,6,
56 - Ventura,2/12/2015,In Review,89440603.00,40,Greater Los Angeles Counties
56 - Ventura,2/12/2015,Pending Construction,19859565.00,50,Greater Los Angeles Counties
56 - Ventura,2/12/2015,In Construction,396345494.00,87,Greater Los Angeles Counties
56 - Ventura,2/12/2015,In Closure,39403430.00,38,Greater Los Angeles Counties
57 - Yolo,2/12/2015,In Review,2405815.00,6,Greater Sacramento Counties
57 - Yolo,2/12/2015,Pending Construction,2296055.00,7,Greater Sacramento Counties
57 - Yolo,2/12/2015,In Construction,2816234.00,12,Greater Sacramento Counties
57 - Yolo,2/12/2015,In Closure,1432107.00,5,Greater Sacramento Counties
58 - Yuba,2/12/2015,In Review,5392000.00,5,
58 - Yuba,2/12/2015,Pending Construction,44585275.00,1,
58 - Yuba,2/12/2015,In Construction,94917366.00,6,
58 - Yuba,2/12/2015,In Closure,60105.00,2,
01 - Alameda,2/26/2015,In Review,131539624.00,56,Bay Area Counties
01 - Alameda,2/26/2015,Pending Construction,315315298.00,125,Bay Area Counties
01 - Alameda,2/26/2015,In Construction,371697434.00,127,Bay Area Counties
01 - Alameda,2/26/2015,In Closure,1429939437.00,139,Bay Area Counties
02 - Alpine,2/26/2015,In Review,0.00,0,
02 - Alpine,2/26/2015,Pending Construction,0.00,0,
02 - Alpine,2/26/2015,In Construction,0.00,0,
02 - Alpine,2/26/2015,In Closure,0.00,0,
03 - Amador,2/26/2015,In Review,6000.00,1,
03 - Amador,2/26/2015,Pending Construction,90043.00,3,
03 - Amador,2/26/2015,In Construction,4245080.00,8,
03 - Amador,2/26/2015,In Closure,263439.00,2,
04 - Butte,2/26/2015,In Review,3297243.00,10,
04 - Butte,2/26/2015,Pending Construction,9140455.00,20,
04 - Butte,2/26/2015,In Construction,84825352.00,6,
04 - Butte,2/26/2015,In Closure,2503549.00,5,
05 - Calaveras,2/26/2015,In Review,0.00,0,
05 - Calaveras,2/26/2015,Pending Construction,97000.00,1,
05 - Calaveras,2/26/2015,In Construction,408927.00,4,
05 - Calaveras,2/26/2015,In Closure,95733.00,3,
06 - Colusa,2/26/2015,In Review,0.00,0,
